,from_domain,from_vocab,from_standard,to_domain,to_vocab,to_standard,relationship,count
1154,Drug,RxNorm,,Drug,RxNorm,C,Brand name of,19630
1155,Drug,RxNorm,,Drug,RxNorm,C,Concept replaced by,12
1156,Drug,RxNorm,,Drug,RxNorm,C,Has dose form group,4437
1157,Drug,RxNorm,,Drug,RxNorm,C,Has tradename,137
1158,Drug,RxNorm,,Drug,RxNorm,C,RxNorm ing of,21
1159,Drug,RxNorm,,Drug,RxNorm,C,RxNorm is a,3836
1160,Drug,RxNorm,,Drug,RxNorm,C,Tradename of,2950
1161,Drug,RxNorm,,Drug,RxNorm,S,Brand name of,79950
1162,Drug,RxNorm,,Drug,RxNorm,S,Concept replaced by,32446
1163,Drug,RxNorm,,Drug,RxNorm,S,Consists of,3286
1164,Drug,RxNorm,,Drug,RxNorm,S,Constitutes,2041
1165,Drug,RxNorm,,Drug,RxNorm,S,Contained in,13
1166,Drug,RxNorm,,Drug,RxNorm,S,Contains,234
1167,Drug,RxNorm,,Drug,RxNorm,S,Form of,3461
1168,Drug,RxNorm,,Drug,RxNorm,S,Has precise ing,4
1169,Drug,RxNorm,,Drug,RxNorm,S,Has quantified form,17
1170,Drug,RxNorm,,Drug,RxNorm,S,Has tradename,237
1171,Drug,RxNorm,,Drug,RxNorm,S,Maps to,54315
1172,Drug,RxNorm,,Drug,RxNorm,S,Precise ing of,4878
1173,Drug,RxNorm,,Drug,RxNorm,S,Quantified form of,167
1174,Drug,RxNorm,,Drug,RxNorm,S,RxNorm dose form of,92228
1175,Drug,RxNorm,,Drug,RxNorm,S,RxNorm has ing,9267
1176,Drug,RxNorm,,Drug,RxNorm,S,RxNorm ing of,91
1177,Drug,RxNorm,,Drug,RxNorm,S,RxNorm inverse is a,2272
1178,Drug,RxNorm,,Drug,RxNorm,S,RxNorm is a,1995
1179,Drug,RxNorm,,Drug,RxNorm,S,Tradename of,15461
1180,Drug,RxNorm,,Drug,RxNorm,,Brand name of,18976
1181,Drug,RxNorm,,Drug,RxNorm,,Concept replaced by,7844
1182,Drug,RxNorm,,Drug,RxNorm,,Concept replaces,7844
1183,Drug,RxNorm,,Drug,RxNorm,,Consists of,9567
1184,Drug,RxNorm,,Drug,RxNorm,,Constitutes,9567
1185,Drug,RxNorm,,Drug,RxNorm,,Contained in,58
1186,Drug,RxNorm,,Drug,RxNorm,,Contains,58
1187,Drug,RxNorm,,Drug,RxNorm,,Dose form group of,32
1188,Drug,RxNorm,,Drug,RxNorm,,Form of,9
1189,Drug,RxNorm,,Drug,RxNorm,,Has brand name,18976
1190,Drug,RxNorm,,Drug,RxNorm,,Has dose form group,32
1191,Drug,RxNorm,,Drug,RxNorm,,Has form,9
1192,Drug,RxNorm,,Drug,RxNorm,,Has precise ing,9742
1193,Drug,RxNorm,,Drug,RxNorm,,Has quantified form,762
1194,Drug,RxNorm,,Drug,RxNorm,,Has tradename,5694
1195,Drug,RxNorm,,Drug,RxNorm,,Precise ing of,9742
1196,Drug,RxNorm,,Drug,RxNorm,,Quantified form of,762
1197,Drug,RxNorm,,Drug,RxNorm,,RxNorm dose form of,17553
1198,Drug,RxNorm,,Drug,RxNorm,,RxNorm has dose form,17553
1199,Drug,RxNorm,,Drug,RxNorm,,RxNorm has ing,981
1200,Drug,RxNorm,,Drug,RxNorm,,RxNorm ing of,981
1201,Drug,RxNorm,,Drug,RxNorm,,RxNorm inverse is a,19298
1202,Drug,RxNorm,,Drug,RxNorm,,RxNorm is a,19298
1203,Drug,RxNorm,,Drug,RxNorm,,Tradename of,5694
1204,Drug,RxNorm,,Drug,RxNorm Extension,S,Available as box,964
1205,Drug,RxNorm,,Drug,RxNorm Extension,S,Brand name of,164868
1206,Drug,RxNorm,,Drug,RxNorm Extension,S,Constitutes,2581
1207,Drug,RxNorm,,Drug,RxNorm Extension,S,Contained in,3
1208,Drug,RxNorm,,Drug,RxNorm Extension,S,Has marketed form,4293
1209,Drug,RxNorm,,Drug,RxNorm Extension,S,Has quantified form,422
1210,Drug,RxNorm,,Drug,RxNorm Extension,S,Has tradename,6132
1211,Drug,RxNorm,,Drug,RxNorm Extension,S,Maps to,23
1212,Drug,RxNorm,,Drug,RxNorm Extension,S,RxNorm dose form of,1633824
1213,Drug,RxNorm,,Drug,RxNorm Extension,S,RxNorm ing of,1454
1214,Drug,RxNorm,,Drug,RxNorm Extension,S,RxNorm inverse is a,1525
1215,Drug,RxNorm,,Drug,RxNorm Extension,,Available as box,2
1216,Drug,RxNorm,,Drug,RxNorm Extension,,Brand name of,7164
1217,Drug,RxNorm,,Drug,RxNorm Extension,,Concept replaces,540
1218,Drug,RxNorm,,Drug,RxNorm Extension,,Constitutes,56
1219,Drug,RxNorm,,Drug,RxNorm Extension,,Has brand name,680
1220,Drug,RxNorm,,Drug,RxNorm Extension,,Has marketed form,167
1221,Drug,RxNorm,,Drug,RxNorm Extension,,Has quantified form,13
1222,Drug,RxNorm,,Drug,RxNorm Extension,,Has tradename,22
1223,Drug,RxNorm,,Drug,RxNorm Extension,,RxNorm dose form of,49506
1224,Drug,RxNorm,,Drug,RxNorm Extension,,RxNorm ing of,57
1225,Drug,RxNorm,,Drug,RxNorm Extension,,RxNorm inverse is a,44
1226,Drug,RxNorm,,Drug,SNOMED,,RxNorm - SNOMED eq,3185
1227,Drug,RxNorm,,Drug,SPL,C,RxNorm - SPL,423547
1228,Drug,RxNorm,,Drug,SPL,,RxNorm - SPL,1101
1229,Drug,RxNorm,,Observation,SNOMED,S,RxNorm - SNOMED eq,70
1230,Drug,RxNorm,,Observation,SNOMED,,RxNorm - SNOMED eq,34
1231,Drug,RxNorm,,Observation,SPL,C,RxNorm - SPL,241
1232,Drug,RxNorm Extension,S,Condition,Read,,Value mapped from,1
1233,Drug,RxNorm Extension,S,Condition,SNOMED,,Value mapped from,1
1234,Drug,RxNorm Extension,S,Device,HCPCS,,Mapped from,2
1235,Drug,RxNorm Extension,S,Device,NDC,,Mapped from,2
1236,Drug,RxNorm Extension,S,Device,SNOMED,,Mapped from,135
1237,Drug,RxNorm Extension,S,Drug,ATC,C,Drug has drug class,75451
1238,Drug,RxNorm Extension,S,Drug,ATC,C,Is a,1741
1239,Drug,RxNorm Extension,S,Drug,ATC,C,Mapped from,329
1240,Drug,RxNorm Extension,S,Drug,ATC,C,RxNorm - ATC,84937
1241,Drug,RxNorm Extension,S,Drug,ATC,C,RxNorm - ATC pr lat,418
1242,Drug,RxNorm Extension,S,Drug,ATC,C,RxNorm - ATC pr up,321
1243,Drug,RxNorm Extension,S,Drug,ATC,C,RxNorm - ATC sec lat,68
1244,Drug,RxNorm Extension,S,Drug,ATC,C,RxNorm - ATC sec up,1707
1245,Drug,RxNorm Extension,S,Drug,ATC,,Mapped from,12
1246,Drug,RxNorm Extension,S,Drug,dm+d,,Mapped from,160817
1247,Drug,RxNorm Extension,S,Drug,dm+d,,RxNorm - Source eq,277
1248,Drug,RxNorm Extension,S,Drug,HCPCS,,Mapped from,85
1249,Drug,RxNorm Extension,S,Drug,ICD10PCS,,Mapped from,14
1250,Drug,RxNorm Extension,S,Drug,NDC,,Mapped from,2842
1251,Drug,RxNorm Extension,S,Drug,RxNorm,S,Box of,47998
1252,Drug,RxNorm Extension,S,Drug,RxNorm,S,Consists of,52028
1253,Drug,RxNorm Extension,S,Drug,RxNorm,S,Contains,6614
1254,Drug,RxNorm Extension,S,Drug,RxNorm,S,Drug has drug class,2
1255,Drug,RxNorm Extension,S,Drug,RxNorm,S,Marketed form of,347025
1256,Drug,RxNorm Extension,S,Drug,RxNorm,S,Quantified form of,13036
1257,Drug,RxNorm Extension,S,Drug,RxNorm,S,RxNorm has ing,171109
1258,Drug,RxNorm Extension,S,Drug,RxNorm,S,RxNorm is a,23586
1259,Drug,RxNorm Extension,S,Drug,RxNorm,S,Tradename of,267891
1260,Drug,RxNorm Extension,S,Drug,RxNorm,,Box of,964
1261,Drug,RxNorm Extension,S,Drug,RxNorm,,Consists of,2581
1262,Drug,RxNorm Extension,S,Drug,RxNorm,,Contains,3
1263,Drug,RxNorm Extension,S,Drug,RxNorm,,Has brand name,164868
1264,Drug,RxNorm Extension,S,Drug,RxNorm,,Mapped from,23
1265,Drug,RxNorm Extension,S,Drug,RxNorm,,Marketed form of,4293
1266,Drug,RxNorm Extension,S,Drug,RxNorm,,Quantified form of,422
1267,Drug,RxNorm Extension,S,Drug,RxNorm,,RxNorm has dose form,1633824
1268,Drug,RxNorm Extension,S,Drug,RxNorm,,RxNorm has ing,1454
1269,Drug,RxNorm Extension,S,Drug,RxNorm,,RxNorm is a,1525
1270,Drug,RxNorm Extension,S,Drug,RxNorm,,Tradename of,6132
1271,Drug,RxNorm Extension,S,Drug,RxNorm Extension,S,Available as box,440346
1272,Drug,RxNorm Extension,S,Drug,RxNorm Extension,S,Box of,440346
1273,Drug,RxNorm Extension,S,Drug,RxNorm Extension,S,Consists of,290481
1274,Drug,RxNorm Extension,S,Drug,RxNorm Extension,S,Constitutes,290481
1275,Drug,RxNorm Extension,S,Drug,RxNorm Extension,S,Contained in,7295
1276,Drug,RxNorm Extension,S,Drug,RxNorm Extension,S,Contains,7295
1277,Drug,RxNorm Extension,S,Drug,RxNorm Extension,S,Has marketed form,1561852
1278,Drug,RxNorm Extension,S,Drug,RxNorm Extension,S,Has quantified form,323503
1279,Drug,RxNorm Extension,S,Drug,RxNorm Extension,S,Has tradename,653514
1280,Drug,RxNorm Extension,S,Drug,RxNorm Extension,S,Mapped from,1867497
1281,Drug,RxNorm Extension,S,Drug,RxNorm Extension,S,Maps to,1867497
1282,Drug,RxNorm Extension,S,Drug,RxNorm Extension,S,Marketed form of,1561852
1283,Drug,RxNorm Extension,S,Drug,RxNorm Extension,S,Quantified form of,323503
1284,Drug,RxNorm Extension,S,Drug,RxNorm Extension,S,RxNorm has ing,11799
1285,Drug,RxNorm Extension,S,Drug,RxNorm Extension,S,RxNorm ing of,11799
1286,Drug,RxNorm Extension,S,Drug,RxNorm Extension,S,RxNorm inverse is a,227209
1287,Drug,RxNorm Extension,S,Drug,RxNorm Extension,S,RxNorm is a,227209
1288,Drug,RxNorm Extension,S,Drug,RxNorm Extension,S,Tradename of,653514
1289,Drug,RxNorm Extension,S,Drug,RxNorm Extension,,Available as box,70
1290,Drug,RxNorm Extension,S,Drug,RxNorm Extension,,Box of,3506
1291,Drug,RxNorm Extension,S,Drug,RxNorm Extension,,Concept replaces,134037
1292,Drug,RxNorm Extension,S,Drug,RxNorm Extension,,Consists of,1718
1293,Drug,RxNorm Extension,S,Drug,RxNorm Extension,,Constitutes,671
1294,Drug,RxNorm Extension,S,Drug,RxNorm Extension,,Contained in,20
1295,Drug,RxNorm Extension,S,Drug,RxNorm Extension,,Contains,223
1296,Drug,RxNorm Extension,S,Drug,RxNorm Extension,,Has brand name,1038945
1297,Drug,RxNorm Extension,S,Drug,RxNorm Extension,,Has marketed form,43522
1298,Drug,RxNorm Extension,S,Drug,RxNorm Extension,,Has quantified form,17191
1299,Drug,RxNorm Extension,S,Drug,RxNorm Extension,,Has supplier,555760
1300,Drug,RxNorm Extension,S,Drug,RxNorm Extension,,Has tradename,2424
1301,Drug,RxNorm Extension,S,Drug,RxNorm Extension,,Mapped from,135198
1302,Drug,RxNorm Extension,S,Drug,RxNorm Extension,,Marketed form of,16285
1303,Drug,RxNorm Extension,S,Drug,RxNorm Extension,,Quantified form of,1071
1304,Drug,RxNorm Extension,S,Drug,RxNorm Extension,,RxNorm has dose form,2574
1305,Drug,RxNorm Extension,S,Drug,RxNorm Extension,,RxNorm has ing,2743
1306,Drug,RxNorm Extension,S,Drug,RxNorm Extension,,RxNorm ing of,10
1307,Drug,RxNorm Extension,S,Drug,RxNorm Extension,,RxNorm inverse is a,372
1308,Drug,RxNorm Extension,S,Drug,RxNorm Extension,,RxNorm is a,1653
1309,Drug,RxNorm Extension,S,Drug,RxNorm Extension,,Tradename of,4652
1310,Drug,RxNorm Extension,S,Drug,SNOMED,,Mapped from,148238
1311,Drug,RxNorm Extension,S,Observation,ICD10CM,,Value mapped from,1
1312,Drug,RxNorm Extension,S,Observation,ICD9CM,,Value mapped from,1
1313,Drug,RxNorm Extension,S,Observation,SNOMED,,Mapped from,99
1314,Drug,RxNorm Extension,S,Observation,SNOMED,,Value mapped from,20
1315,Drug,RxNorm Extension,S,Observation,UK Biobank,,Mapped from,427
1316,Drug,RxNorm Extension,S,Observation,UK Biobank,,Value mapped from,4
1317,Drug,RxNorm Extension,S,Procedure,OPCS4,,Mapped from,5
1318,Drug,RxNorm Extension,S,Procedure,SNOMED,,Mapped from,8
1319,Drug,RxNorm Extension,,Device,dm+d,,RxNorm - Source eq,19
1320,Drug,RxNorm Extension,,Drug,ATC,C,Drug has drug class,4
1321,Drug,RxNorm Extension,,Drug,ATC,C,Is a,26
1322,Drug,RxNorm Extension,,Drug,ATC,C,RxNorm - ATC,44
1323,Drug,RxNorm Extension,,Drug,ATC,C,RxNorm - ATC pr lat,6
1324,Drug,RxNorm Extension,,Drug,ATC,C,RxNorm - ATC pr up,4
1325,Drug,RxNorm Extension,,Drug,ATC,C,RxNorm - ATC sec up,7
1326,Drug,RxNorm Extension,,Drug,dm+d,,RxNorm - Source eq,11984
1327,Drug,RxNorm Extension,,Drug,RxNorm,S,Box of,49
1328,Drug,RxNorm Extension,,Drug,RxNorm,S,Brand name of,123507
1329,Drug,RxNorm Extension,,Drug,RxNorm,S,Concept replaced by,13195
1330,Drug,RxNorm Extension,,Drug,RxNorm,S,Consists of,1445
1331,Drug,RxNorm Extension,,Drug,RxNorm,S,Constitutes,1
1332,Drug,RxNorm Extension,,Drug,RxNorm,S,Contains,25
1333,Drug,RxNorm Extension,,Drug,RxNorm,S,Maps to,13473
1334,Drug,RxNorm Extension,,Drug,RxNorm,S,Marketed form of,6467
1335,Drug,RxNorm Extension,,Drug,RxNorm,S,Quantified form of,498
1336,Drug,RxNorm Extension,,Drug,RxNorm,S,RxNorm has ing,1830
1337,Drug,RxNorm Extension,,Drug,RxNorm,S,RxNorm is a,270
1338,Drug,RxNorm Extension,,Drug,RxNorm,S,Tradename of,893
1339,Drug,RxNorm Extension,,Drug,RxNorm,,Box of,2
1340,Drug,RxNorm Extension,,Drug,RxNorm,,Brand name of,680
1341,Drug,RxNorm Extension,,Drug,RxNorm,,Concept replaced by,540
1342,Drug,RxNorm Extension,,Drug,RxNorm,,Consists of,56
1343,Drug,RxNorm Extension,,Drug,RxNorm,,Has brand name,7164
1344,Drug,RxNorm Extension,,Drug,RxNorm,,Marketed form of,167
1345,Drug,RxNorm Extension,,Drug,RxNorm,,Quantified form of,13
1346,Drug,RxNorm Extension,,Drug,RxNorm,,RxNorm has dose form,49506
1347,Drug,RxNorm Extension,,Drug,RxNorm,,RxNorm has ing,57
1348,Drug,RxNorm Extension,,Drug,RxNorm,,RxNorm is a,44
1349,Drug,RxNorm Extension,,Drug,RxNorm,,Tradename of,22
1350,Drug,RxNorm Extension,,Drug,RxNorm Extension,S,Available as box,3506
1351,Drug,RxNorm Extension,,Drug,RxNorm Extension,S,Box of,70
1352,Drug,RxNorm Extension,,Drug,RxNorm Extension,S,Brand name of,1038945
1353,Drug,RxNorm Extension,,Drug,RxNorm Extension,S,Concept replaced by,134037
1354,Drug,RxNorm Extension,,Drug,RxNorm Extension,S,Consists of,671
1355,Drug,RxNorm Extension,,Drug,RxNorm Extension,S,Constitutes,1718
1356,Drug,RxNorm Extension,,Drug,RxNorm Extension,S,Contained in,223
1357,Drug,RxNorm Extension,,Drug,RxNorm Extension,S,Contains,20
1358,Drug,RxNorm Extension,,Drug,RxNorm Extension,S,Has marketed form,16285
1359,Drug,RxNorm Extension,,Drug,RxNorm Extension,S,Has quantified form,1071
1360,Drug,RxNorm Extension,,Drug,RxNorm Extension,S,Has tradename,4652
1361,Drug,RxNorm Extension,,Drug,RxNorm Extension,S,Maps to,135198
1362,Drug,RxNorm Extension,,Drug,RxNorm Extension,S,Marketed form of,43522
1363,Drug,RxNorm Extension,,Drug,RxNorm Extension,S,Quantified form of,17191
1364,Drug,RxNorm Extension,,Drug,RxNorm Extension,S,RxNorm dose form of,2574
1365,Drug,RxNorm Extension,,Drug,RxNorm Extension,S,RxNorm has ing,10
1366,Drug,RxNorm Extension,,Drug,RxNorm Extension,S,RxNorm ing of,2743
1367,Drug,RxNorm Extension,,Drug,RxNorm Extension,S,RxNorm inverse is a,1653
1368,Drug,RxNorm Extension,,Drug,RxNorm Extension,S,RxNorm is a,372
1369,Drug,RxNorm Extension,,Drug,RxNorm Extension,S,Supplier of,555760
1370,Drug,RxNorm Extension,,Drug,RxNorm Extension,S,Tradename of,2424
1371,Drug,RxNorm Extension,,Drug,RxNorm Extension,,Available as box,13418
1372,Drug,RxNorm Extension,,Drug,RxNorm Extension,,Box of,13418
1373,Drug,RxNorm Extension,,Drug,RxNorm Extension,,Brand name of,15338
1374,Drug,RxNorm Extension,,Drug,RxNorm Extension,,Concept replaced by,15584
1375,Drug,RxNorm Extension,,Drug,RxNorm Extension,,Concept replaces,15584
1376,Drug,RxNorm Extension,,Drug,RxNorm Extension,,Consists of,1139
1377,Drug,RxNorm Extension,,Drug,RxNorm Extension,,Constitutes,1139
1378,Drug,RxNorm Extension,,Drug,RxNorm Extension,,Contained in,25
1379,Drug,RxNorm Extension,,Drug,RxNorm Extension,,Contains,25
1380,Drug,RxNorm Extension,,Drug,RxNorm Extension,,Has brand name,15338
1381,Drug,RxNorm Extension,,Drug,RxNorm Extension,,Has marketed form,20794
1382,Drug,RxNorm Extension,,Drug,RxNorm Extension,,Has quantified form,2448
1383,Drug,RxNorm Extension,,Drug,RxNorm Extension,,Has supplier,23787
1384,Drug,RxNorm Extension,,Drug,RxNorm Extension,,Has tradename,11749
1385,Drug,RxNorm Extension,,Drug,RxNorm Extension,,Marketed form of,20794
1386,Drug,RxNorm Extension,,Drug,RxNorm Extension,,Quantified form of,2448
1387,Drug,RxNorm Extension,,Drug,RxNorm Extension,,RxNorm dose form of,159
1388,Drug,RxNorm Extension,,Drug,RxNorm Extension,,RxNorm has dose form,159
1389,Drug,RxNorm Extension,,Drug,RxNorm Extension,,RxNorm has ing,776
1390,Drug,RxNorm Extension,,Drug,RxNorm Extension,,RxNorm ing of,776
1391,Drug,RxNorm Extension,,Drug,RxNorm Extension,,RxNorm inverse is a,1877
1392,Drug,RxNorm Extension,,Drug,RxNorm Extension,,RxNorm is a,1877
1393,Drug,RxNorm Extension,,Drug,RxNorm Extension,,Supplier of,23787
1394,Drug,RxNorm Extension,,Drug,RxNorm Extension,,Tradename of,11749
1395,Drug,SNOMED,,Condition,SNOMED,S,Asso with finding,32
1396,Drug,SNOMED,,Condition,SNOMED,S,Causative agent of,5184
1397,Drug,SNOMED,,Condition,SNOMED,,Asso with finding,31
1398,Drug,SNOMED,,Condition,SNOMED,,Causative agent of,2239
1399,Drug,SNOMED,,Condition,SNOMED,,Concept poss_eq from,14
1400,Drug,SNOMED,,Condition,SNOMED,,Concept replaces,1
1401,Drug,SNOMED,,Condition,SNOMED,,Concept same_as from,6
1402,Drug,SNOMED,,Device,dm+d,S,Concept replaced by,19023
1403,Drug,SNOMED,,Device,dm+d,S,Maps to,19023
1404,Drug,SNOMED,,Device,SNOMED,S,Active ing of,16
1405,Drug,SNOMED,,Device,SNOMED,S,Coating material of,29
1406,Drug,SNOMED,,Device,SNOMED,S,Comp material of,274
1407,Drug,SNOMED,,Device,SNOMED,S,Concept alt_to to,2
1408,Drug,SNOMED,,Device,SNOMED,S,Concept poss_eq to,22
1409,Drug,SNOMED,,Device,SNOMED,S,Concept replaced by,34
1410,Drug,SNOMED,,Device,SNOMED,S,Concept same_as to,21
1411,Drug,SNOMED,,Device,SNOMED,S,Concept was_a to,1
1412,Drug,SNOMED,,Device,SNOMED,S,Dose form of,1
1413,Drug,SNOMED,,Device,SNOMED,S,Filling of,3
1414,Drug,SNOMED,,Device,SNOMED,S,Has active ing,603
1415,Drug,SNOMED,,Device,SNOMED,S,Has basis str subst,17
1416,Drug,SNOMED,,Device,SNOMED,S,Has disp dose form,15
1417,Drug,SNOMED,,Device,SNOMED,S,Has dose form,14
1418,Drug,SNOMED,,Device,SNOMED,S,Has modification,32
1419,Drug,SNOMED,,Device,SNOMED,S,Has prec ingredient,37
1420,Drug,SNOMED,,Device,SNOMED,S,Has spec active ing,8
1421,Drug,SNOMED,,Device,SNOMED,S,Is a,55
1422,Drug,SNOMED,,Device,SNOMED,S,Maps to,55
1423,Drug,SNOMED,,Device,SNOMED,S,Modification of,5
1424,Drug,SNOMED,,Device,SNOMED,S,Subsumes,289
1425,Drug,SNOMED,,Device,SNOMED,,Active ing of,8
1426,Drug,SNOMED,,Device,SNOMED,,Concept poss_eq from,38
1427,Drug,SNOMED,,Device,SNOMED,,Concept poss_eq to,7
1428,Drug,SNOMED,,Device,SNOMED,,Concept replaced by,11
1429,Drug,SNOMED,,Device,SNOMED,,Concept replaces,38
1430,Drug,SNOMED,,Device,SNOMED,,Concept same_as from,27
1431,Drug,SNOMED,,Device,SNOMED,,Concept same_as to,9
1432,Drug,SNOMED,,Device,SNOMED,,Disp dose form of,1
1433,Drug,SNOMED,,Device,SNOMED,,Dose form of,13
1434,Drug,SNOMED,,Device,SNOMED,,Has active ing,1072
1435,Drug,SNOMED,,Device,SNOMED,,Has basis str subst,184
1436,Drug,SNOMED,,Device,SNOMED,,Has dose form,20
1437,Drug,SNOMED,,Device,SNOMED,,Has modification,3
1438,Drug,SNOMED,,Device,SNOMED,,Has prec ingredient,203
1439,Drug,SNOMED,,Device,SNOMED,,Has spec active ing,59
1440,Drug,SNOMED,,Device,SNOMED,,Is a,71
1441,Drug,SNOMED,,Device,SNOMED,,Modification of,12
1442,Drug,SNOMED,,Device,SNOMED,,Subsumes,297
1443,Drug,SNOMED,,Drug,ATC,C,SNOMED - ATC eq,1675
1444,Drug,SNOMED,,Drug,dm+d,,Concept replaced by,157884
1445,Drug,SNOMED,,Drug,ICD10PCS,,Component of,15
1446,Drug,SNOMED,,Drug,ICD10PCS,,Dir subst of,26
1447,Drug,SNOMED,,Drug,ICD10PCS,,Subst used by,4
1448,Drug,SNOMED,,Drug,RxNorm,C,SNOMED - RxNorm eq,2835
1449,Drug,SNOMED,,Drug,RxNorm,S,Maps to,30519
1450,Drug,SNOMED,,Drug,RxNorm,S,SNOMED - RxNorm eq,14882
1451,Drug,SNOMED,,Drug,RxNorm,,SNOMED - RxNorm eq,3185
1452,Drug,SNOMED,,Drug,RxNorm Extension,S,Maps to,148238
1453,Drug,SNOMED,,Drug,SNOMED,,Active ing of,23685
1454,Drug,SNOMED,,Drug,SNOMED,,Basic dose form of,428
1455,Drug,SNOMED,,Drug,SNOMED,,Basis str subst of,10570
1456,Drug,SNOMED,,Drug,SNOMED,,Concept alt_to from,47
1457,Drug,SNOMED,,Drug,SNOMED,,Concept alt_to to,47
1458,Drug,SNOMED,,Drug,SNOMED,,Concept poss_eq from,5629
1459,Drug,SNOMED,,Drug,SNOMED,,Concept poss_eq to,5629
1460,Drug,SNOMED,,Drug,SNOMED,,Concept replaced by,5471
1461,Drug,SNOMED,,Drug,SNOMED,,Concept replaces,5471
1462,Drug,SNOMED,,Drug,SNOMED,,Concept same_as from,2494
1463,Drug,SNOMED,,Drug,SNOMED,,Concept same_as to,2494
1464,Drug,SNOMED,,Drug,SNOMED,,Concept was_a from,94
1465,Drug,SNOMED,,Drug,SNOMED,,Concept was_a to,94
1466,Drug,SNOMED,,Drug,SNOMED,,Disp dose form of,1685
1467,Drug,SNOMED,,Drug,SNOMED,,Dose form of,21403
1468,Drug,SNOMED,,Drug,SNOMED,,Has active ing,23685
1469,Drug,SNOMED,,Drug,SNOMED,,Has basic dose form,428
1470,Drug,SNOMED,,Drug,SNOMED,,Has basis str subst,10570
1471,Drug,SNOMED,,Drug,SNOMED,,Has disp dose form,1685
1472,Drug,SNOMED,,Drug,SNOMED,,Has dose form,21403
1473,Drug,SNOMED,,Drug,SNOMED,,Has modification,1992
1474,Drug,SNOMED,,Drug,SNOMED,,Has prec ingredient,10112
1475,Drug,SNOMED,,Drug,SNOMED,,Has spec active ing,1872
1476,Drug,SNOMED,,Drug,SNOMED,,Is a,79366
1477,Drug,SNOMED,,Drug,SNOMED,,Modification of,1992
1478,Drug,SNOMED,,Drug,SNOMED,,Prec ingredient of,10112
1479,Drug,SNOMED,,Drug,SNOMED,,Spec active ing of,1872
1480,Drug,SNOMED,,Drug,SNOMED,,Subsumes,79366
1481,Drug,SNOMED,,Measurement,HCPCS,S,Subsumes,1
1482,Drug,SNOMED,,Measurement,SNOMED,S,Affected by process,4
1483,Drug,SNOMED,,Measurement,SNOMED,S,Component of,6866
1484,Drug,SNOMED,,Measurement,SNOMED,S,Dir subst of,3
1485,Drug,SNOMED,,Measurement,SNOMED,S,Has inherent,9
1486,Drug,SNOMED,,Measurement,SNOMED,S,Relative to of,196
1487,Drug,SNOMED,,Measurement,SNOMED,S,Subject of,46
1488,Drug,SNOMED,,Measurement,SNOMED,S,Subst used by,5
1489,Drug,SNOMED,,Measurement,SNOMED,,Component of,108
1490,Drug,SNOMED,,Measurement,SNOMED,,Concept poss_eq from,25
1491,Drug,SNOMED,,Measurement,SNOMED,,Relative to of,1
1492,Drug,SNOMED,,Meas Value,SNOMED,S,Has strength,7
1493,Drug,SNOMED,,Meas Value,SNOMED,,Has conc denom val,625
1494,Drug,SNOMED,,Meas Value,SNOMED,,Has conc num val,662
1495,Drug,SNOMED,,Meas Value,SNOMED,,Has count of act ing,11
1496,Drug,SNOMED,,Meas Value,SNOMED,,Has count of ing,909
1497,Drug,SNOMED,,Meas Value,SNOMED,,Has denomin value,788
1498,Drug,SNOMED,,Meas Value,SNOMED,,Has numerator value,886
1499,Drug,SNOMED,,Metadata,SNOMED,,Concept poss_eq from,5
1500,Drug,SNOMED,,Metadata,SNOMED,,Concept poss_eq to,9
1501,Drug,SNOMED,,Metadata,SNOMED,,Concept replaced by,1
1502,Drug,SNOMED,,Metadata,SNOMED,,Concept same_as to,3
1503,Drug,SNOMED,,Metadata,SNOMED,,Has Module,59144
1504,Drug,SNOMED,,Metadata,SNOMED,,Has status,59448
1505,Drug,SNOMED,,Metadata,SNOMED,,Is a,1
1506,Drug,SNOMED,,Observation,OMOP Extension,S,Subsumes,10
1507,Drug,SNOMED,,Observation,SNOMED,S,Affected by process,219
1508,Drug,SNOMED,,Observation,SNOMED,S,Asso with finding,7
1509,Drug,SNOMED,,Observation,SNOMED,S,Causative agent of,1857
1510,Drug,SNOMED,,Observation,SNOMED,S,Component of,37
1511,Drug,SNOMED,,Observation,SNOMED,S,Concept poss_eq to,29
1512,Drug,SNOMED,,Observation,SNOMED,S,Concept replaced by,20
1513,Drug,SNOMED,,Observation,SNOMED,S,Concept same_as to,27
1514,Drug,SNOMED,,Observation,SNOMED,S,Concept was_a to,44
1515,Drug,SNOMED,,Observation,SNOMED,S,Dir subst of,10
1516,Drug,SNOMED,,Observation,SNOMED,S,Has active ing,1477
1517,Drug,SNOMED,,Observation,SNOMED,S,Has admin method,440
1518,Drug,SNOMED,,Observation,SNOMED,S,Has basis str subst,48
1519,Drug,SNOMED,,Observation,SNOMED,S,Has disposition,8642
1520,Drug,SNOMED,,Observation,SNOMED,S,Has intended site,502
1521,Drug,SNOMED,,Observation,SNOMED,S,Has modification,90
1522,Drug,SNOMED,,Observation,SNOMED,S,Has prec ingredient,47
1523,Drug,SNOMED,,Observation,SNOMED,S,Has release charact,449
1524,Drug,SNOMED,,Observation,SNOMED,S,Has spec active ing,39
1525,Drug,SNOMED,,Observation,SNOMED,S,Has state of matter,76
1526,Drug,SNOMED,,Observation,SNOMED,S,Has targ population,14
